,steamid,appid,playtime_forever
294,76561198034918747,220,408
295,76561198034918747,340,0
296,76561198034918747,320,0
297,76561198034918747,360,0
298,76561198034918747,380,0
299,76561198034918747,4000,3346
300,76561198034918747,2990,182
301,76561198034918747,400,356
302,76561198034918747,420,0
303,76561198034918747,7940,935
304,76561198034918747,12120,5219
305,76561198034918747,12250,0
306,76561198034918747,10090,183
307,76561198034918747,17480,92
308,76561198034918747,15620,571
309,76561198034918747,22330,128
310,76561198034918747,1250,84
311,76561198034918747,35420,0
312,76561198034918747,10180,606
313,76561198034918747,10190,119
314,76561198034918747,550,392
315,76561198034918747,33230,0
316,76561198034918747,8190,1602
317,76561198034918747,12210,3328
318,76561198034918747,47870,26
319,76561198034918747,48190,0
320,76561198034918747,620,1017
321,76561198034918747,20920,52
322,76561198034918747,201870,0
323,76561198034918747,110800,0
324,76561198034918747,67370,0
325,76561198034918747,105450,621
326,76561198034918747,201700,0
327,76561198034918747,12750,0
328,76561198034918747,50300,37
329,76561198034918747,108710,43
330,76561198034918747,202750,0
331,76561198034918747,204360,0
332,76561198034918747,57690,3135
333,76561198034918747,55230,0
334,76561198034918747,204100,574
335,76561198034918747,227300,1945
336,76561198034918747,107900,50
337,76561198034918747,212500,0
338,76561198034918747,236390,19905
339,76561198034918747,223750,0
340,76561198034918747,3910,0
341,76561198034918747,220200,11157
342,76561198034918747,35450,1646
343,76561198034918747,10680,416
344,76561198034918747,72850,2171
345,76561198034918747,242760,2502
346,76561198034918747,242920,536
347,76561198034918747,218620,13424
348,76561198034918747,239820,494
349,76561198034918747,236850,11891
350,76561198034918747,219640,0
351,76561198034918747,242050,3
352,76561198034918747,261110,0
353,76561198034918747,261550,11522
354,76561198034918747,262280,300
355,76561198034918747,16700,1
356,76561198034918747,40970,382
357,76561198034918747,264710,2014
358,76561198034918747,210770,765
359,76561198034918747,239160,0
360,76561198034918747,48700,2660
361,76561198034918747,281990,1525
362,76561198034918747,286160,1842
363,76561198034918747,286570,351
364,76561198034918747,245620,1557
365,76561198034918747,286690,218
366,76561198034918747,287390,0
367,76561198034918747,304930,0
368,76561198034918747,287450,1914
369,76561198034918747,227940,40
370,76561198034918747,206420,33
371,76561198034918747,318600,0
372,76561198034918747,238010,0
373,76561198034918747,203160,0
374,76561198034918747,321040,0
375,76561198034918747,220440,0
376,76561198034918747,302510,534
377,76561198034918747,241930,592
378,76561198034918747,307690,50
379,76561198034918747,730,20976
380,76561198034918747,301910,89
381,76561198034918747,329430,48
382,76561198034918747,311560,214
383,76561198034918747,255710,5359
384,76561198034918747,306130,21904
385,76561198034918747,361420,4126
386,76561198034918747,364470,176
387,76561198034918747,365720,0
388,76561198034918747,322330,289
389,76561198034918747,394360,2471
390,76561198034918747,244450,0
391,76561198034918747,225540,3523
392,76561198034918747,397900,48
393,76561198034918747,414530,0
394,76561198034918747,427270,0
395,76561198034918747,431960,22
396,76561198034918747,438270,10
397,76561198034918747,275850,4026
398,76561198034918747,466560,616
399,76561198034918747,473690,27
400,76561198034918747,359550,364
401,76561198034918747,623990,0
402,76561198034918747,327030,596
403,76561198034918747,48000,0
404,76561198034918747,292030,399
405,76561198034918747,7670,0
406,76561198034918747,8850,0
407,76561198034918747,8870,0
408,76561198034918747,409710,48
409,76561198034918747,409720,0
410,76561198034918747,489830,3837
411,76561198034918747,552100,55
412,76561198034918747,8500,0
413,76561198034918747,563560,0
414,76561198034918747,619910,1105
415,76561198034918747,626680,0
416,76561198034918747,9480,0
417,76561198034918747,236150,1459
418,76561198034918747,651280,0
419,76561198034918747,368420,0
420,76561198034918747,40960,434
421,76561198034918747,466240,539
422,76561198034918747,739630,5075
423,76561198034918747,813820,0
424,76561198034918747,878760,0
425,76561198034918747,433850,0
426,76561198034918747,439700,0
427,76561198034918747,203770,1093
428,76561198034918747,880940,569
429,76561198034918747,271240,62
430,76561198034918747,1049590,0
431,76561198034918747,1186040,0
432,76561198034918747,231430,0
433,76561198034918747,582660,0
434,76561198034918747,836620,0
435,76561198034918747,1274570,342
436,76561198034918747,1284190,614
437,76561198034918747,34330,0
438,76561198034918747,1638720,53
439,76561198034918747,1240440,0
440,76561198034918747,520720,0
441,76561198067832559,4000,1235
442,76561198067832559,220,112
443,76561198067832559,320,0
444,76561198067832559,340,0
445,76561198067832559,360,0
446,76561198067832559,380,0
447,76561198067832559,400,15
448,76561198067832559,420,0
449,76561198067832559,20900,0
450,76561198067832559,50300,0
451,76561198067832559,55100,29
452,76561198067832559,47800,779
453,76561198067832559,620,360
454,76561198067832559,105600,4951
455,76561198067832559,7760,0
456,76561198067832559,67370,0
457,76561198067832559,37400,1
458,76561198067832559,37420,1
459,76561198067832559,201700,0
460,76561198067832559,20920,0
461,76561198067832559,49520,1834
462,76561198067832559,217490,0
463,76561198067832559,205790,88
464,76561198067832559,72850,1789
465,76561198067832559,17080,965
466,76561198067832559,51100,0
467,76561198067832559,104700,8319
468,76561198067832559,113400,3749
469,76561198067832559,206210,1644
470,76561198067832559,207230,1114
471,76561198067832559,208090,907
472,76561198067832559,218230,515
473,76561198067832559,1083500,0
474,76561198067832559,230410,1989
475,76561198067832559,236390,19
476,76561198067832559,238960,232
477,76561198067832559,202090,2
478,76561198067832559,223750,0
479,76561198067832559,3910,520
480,76561198067832559,234650,0
481,76561198067832559,65930,0
482,76561198067832559,242760,0
483,76561198067832559,218620,933
484,76561198067832559,252950,2899
485,76561198067832559,254320,0
486,76561198067832559,205100,607
487,76561198067832559,234670,702
488,76561198067832559,268870,0
489,76561198067832559,550,0
490,76561198067832559,57300,0
491,76561198067832559,239200,0
492,76561198067832559,222880,600
493,76561198067832559,278460,0
494,76561198067832559,286690,0
495,76561198067832559,287390,0
496,76561198067832559,292620,0
497,76561198067832559,293540,0
498,76561198067832559,293560,0
499,76561198067832559,293840,12
500,76561198067832559,35450,0
501,76561198067832559,236830,0
502,76561198067832559,298240,0
503,76561198067832559,238460,204
504,76561198067832559,301520,846
505,76561198067832559,304930,218
506,76561198067832559,224600,0
507,76561198067832559,302380,17
508,76561198067832559,227700,0
509,76561198067832559,244630,0
510,76561198067832559,312990,7
511,76561198067832559,227940,786
512,76561198067832559,269910,0
513,76561198067832559,315640,0
514,76561198067832559,316010,37
515,76561198067832559,317360,0
516,76561198067832559,200110,35
517,76561198067832559,258160,0
518,76561198067832559,318600,0
519,76561198067832559,323370,0
520,76561198067832559,327690,376
521,76561198067832559,261640,0
522,76561198067832559,730,72136
